ID1,ID2,lat,long,alt
L128978,Hidalgo,31.3661995,-109.0233994,.
L148458,Hidalgo,31.5332413,-108.8784332,.
L152523,Luna,31.80346,-107.63507,.
L578737,Luna,31.8253568,-107.5784683,.
L372954,Hidalgo,31.8368785,-109.0286636,.
L380023,Hidalgo,31.8539397,-108.8037872,.
L1435197,Eddy,32.0959011,-104.4679234,.
L128933,Eddy,32.1091003,-104.4710999,.
L148536,Dona_Ana,32.1158028,-106.6737289,.
L3112437,Eddy,32.2417533,-104.0270305,.
L446819,Luna,32.2421345,-107.7095318,.
L280626,Dona_Ana,32.247964,-106.819833,.
L961710,Dona_Ana,32.2631412,-106.8246002,.
L144364,Luna,32.2719577,-107.6768839,.
L337645,Hidalgo,32.2765723,-108.8799135,.
L3111906,Hidalgo,32.3137944,-108.6107326,.
L188779,Eddy,32.346912,-104.09194,.
L590490,Dona_Ana,32.3494037,-106.3974488,.
L152046,Hidalgo,32.36013,-108.70005,.
L279120,Dona_Ana,32.5277686,-106.9847943,.
L140812,Luna,32.5623627,-107.3860016,.
L279751,Eddy,32.574353,-104.390501,.
L216857,Luna,32.5769547,-107.4360405,.
L241450,Luna,32.5884648,-107.3627438,.
L241449,Sierra,32.6085183,-107.3046294,.
L622167,Dona_Ana,32.6133516,-107.2928238,.
L158477,Eddy,32.61821,-104.34689,.
L164009,Dona_Ana,32.64189,-107.066666,.
L293793,Hidalgo,32.6719746,-108.9627718,.
L281121,Grant,32.6906271,-108.73745,.
L112581,Otero,32.69645,-105.60931,.
L148443,Lea,32.716877,-103.3075638,.
L140000,Sierra,32.7613945,-107.5363235,.
L148439,Lea,32.7805595,-103.211647,.
L278720,Otero,32.807442,-106.1226013,.
L934338,Grant,32.8418443,-108.5108471,.
L270812,Lea,32.8570768,-103.3252788,.
L281279,Grant,32.8667947,-108.5737061,.
L271618,Sierra,32.8668999,-107.3059559,.
L249523,Sierra,32.8915794,-107.2956401,.
L164059,Sierra,32.899925,-107.30381,.
L1654219,Lea,32.9361317,-103.3368029,.
L728677,Sierra,32.9389626,-107.2952271,.
L277926,Lea,32.9392606,-103.3375199,.
L690467,Grant,32.9668352,-108.5898113,.
L225178,Grant,32.9676451,-108.5880386,.
L156468,Sierra,32.97675,-107.384544,.
L140286,Sierra,32.9800873,-107.2827225,.
L159082,Grant,32.985954,-108.56803,.
L690503,Otero,32.9908115,-105.6761169,.
L152934,Grant,33.001045,-108.570564,.
L247265,Grant,33.0197897,-108.5398101,.
L281275,Grant,33.0309178,-108.1571163,.
L675528,Grant,33.0415507,-108.5309529,.
L280970,Sierra,33.061299,-107.281537,.
L690445,Grant,33.1168498,-108.1785965,.
L142225,Lea,33.1172447,-103.6205597,.
L189889,Otero,33.297867,-105.68874,.
L1866706,Otero,33.362154,-105.9558005,.
L274946,Chaves,33.4467359,-104.4049001,.
L3304455,Chaves,33.4709003,-104.3911457,.
L1783971,Chaves,33.4731323,-104.4206395,.
L589014,Lea,33.4953562,-103.3392584,.
L247014,Lincoln,33.5444904,-105.5659295,.
L2922731,Socorro,33.7344432,-106.9788174,.
L127961,McCurtain,33.739399,-94.6530991,.
L127945,Socorro,33.802,-106.88,.
L3156434,Socorro,33.8049577,-106.8843985,.
L847245,Socorro,33.805018,-106.8907768,.
L898742,Socorro,33.8071442,-106.8775535,.
L1358840,Socorro,33.8151614,-106.8722406,.
L152932,Catron,33.8329396,-108.6223412,.
L747829,Catron,33.8802496,-108.5396004,.
L144488,Socorro,33.9149971,-106.853981,.
L1757444,Marshall,33.9287276,-96.7240425,.
L3257693,Socorro,33.9402285,-107.4843362,.
L246193,Roosevelt,33.9410267,-103.569411,.
L691814,Roosevelt,33.9422207,-103.4781647,.
L225181,Socorro,34.0570708,-106.8741196,.
L112933,McCurtain,34.0657,-94.80556,.
L819927,Socorro,34.0696892,-106.8731546,.
L819928,Socorro,34.077563,-106.8691635,.
L156972,Socorro,34.08307,-106.87097,.
L275081,Catron,34.1341239,-108.4923957,.
L161398,Socorro,34.134285,-106.877892,.
