ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
Kansas,Anderson,38.171526,-95.278122,.,16.7,31.3,2.2,29.1,1035,577,25.8,54.2,126,4700,2070,1641,245,91,304,213,9,-24.5,47.6,1299,338,15.3,59
Kansas,Atchison,39.537939,-95.149796,.,15.9,30.6,1.1,29.5,989,597,26.2,51.2,171,4504,2274,1547,234,94,304,209,12,-25.7,47.2,1193,280,14.8,60
Kansas,Barber,37.295234,-98.614563,.,18.2,33.6,4,29.6,644,384,43.8,87.6,82,5126,1830,1941,257,89,305,216,3,-23.6,51.6,1469,825,16.2,54
Kansas,Barton,38.484026,-98.661598,.,16.9,32.4,2.2,30.2,637,386,42.3,83.9,127,4776,2115,1750,244,94,303,210,5,-25.3,50.4,1356,719,16.1,56
Kansas,Brown,39.903377,-95.650581,.,15.4,30.3,0.3,30,948,575,26.8,52.7,202,4395,2393,1494,227,97,301,204,15,-26.9,47.6,1196,309,14.8,59
Kansas,Butler,37.718566,-96.903198,.,17.4,32.4,2.8,29.7,904,533,30.3,60.8,108,4884,1976,1773,252,88,305,217,6,-24,49.2,1358,468,15.6,58
Kansas,Chase,38.367166,-96.586777,.,16.7,31.8,1.9,29.9,900,536,29.7,59.4,134,4709,2119,1677,243,91,304,212,8,-25,48.7,1312,428,15,58
Kansas,Cherokee,37.043258,-94.640686,.,18.1,31.8,4.6,27.2,1138,568,24.7,56,69,5035,1725,1786,269,82,309,227,4,-21.7,47.5,1371,377,14.9,59
Kansas,Clark,37.393346,-99.786758,.,17.3,32.3,3.5,28.9,560,358,48.8,90.3,95,4834,1981,1753,244,98,301,203,3,-25.1,50.9,1454,894,16.3,52
Kansas,Clay,39.281917,-97.036598,.,16.4,31.8,1.2,30.6,826,507,31.9,62.7,159,4649,2227,1668,238,93,303,210,9,-25.9,49.2,1288,462,15.1,58
Kansas,Cloud,39.47627,-97.644836,.,15.5,31,0.3,30.7,743,464,34.3,66.9,199,4405,2414,1527,231,97,300,203,12,-27.2,48.8,1213,495,15.5,58
Kansas,Coffey,38.267677,-95.814552,.,16.7,31.4,1.9,29.5,943,545,28.3,57.6,132,4691,2096,1644,244,91,304,213,8,-25,47.9,1296,383,15.3,59
Kansas,Cowley,37.272498,-96.926094,.,18.2,33.3,3.9,29.3,880,497,32,67,83,5104,1813,1904,263,84,308,224,4,-22.4,49.7,1399,535,15.6,58
Kansas,Crawford,37.449707,-94.711662,.,17.9,31.9,4.1,27.9,1120,582,24.9,54.9,80,4997,1801,1794,263,83,308,225,4,-22.2,47.7,1353,355,15.1,59
Kansas,Decatur,39.811963,-100.520271,.,15,30.9,0.8,30.1,564,362,44.4,85.4,183,4226,2477,1425,228,105,293,187,8,-29.2,49.7,1340,777,15.8,50
Kansas,Douglas,38.92911,-95.303825,.,16.3,31,1.7,29.3,1006,587,26.2,52.9,148,4608,2174,1601,243,91,305,214,10,-25,47.2,1237,286,15.1,61
Kansas,Elk,37.576079,-96.037544,.,17.5,32.2,3.2,28.9,944,540,29.2,59.6,98,4909,1908,1759,254,88,306,218,5,-23.6,48.2,1362,441,15.3,58
Kansas,Ellsworth,38.642503,-98.0093,.,16.5,32.2,1.6,30.5,682,416,38.9,77.2,145,4680,2190,1691,241,93,303,210,7,-25.7,49.8,1318,635,15.7,57
Kansas,Finney,37.929846,-100.90992,.,16.2,31.3,2.4,28.9,456,304,57.5,103.2,122,4512,2186,1561,237,103,297,194,4,-27.1,49.8,1416,957,16.9,51
Kansas,Ford,37.813712,-99.875458,.,16.9,32,2.9,29.1,541,345,49.7,92.9,109,4716,2078,1692,242,98,301,203,4,-25.4,50.4,1403,862,16.6,53
Kansas,Franklin,38.63645,-95.256615,.,16.6,31.1,2,29.2,1020,575,26.1,54.2,136,4669,2116,1631,243,91,305,214,10,-24.7,47.5,1279,334,15.1,60
Kansas,Geary,39.077954,-96.90358,.,16.5,31.8,1.4,30.4,840,511,31.5,62.2,151,4666,2188,1667,241,92,303,211,9,-25.5,49,1287,449,15.3,58
Kansas,Gray,37.587532,-100.445168,.,16.6,31.6,3,28.6,507,333,52.6,95,108,4637,2091,1629,239,102,299,197,3,-26.3,50.2,1440,933,17,51
Kansas,Greeley,38.476396,-101.746529,.,15.3,30.3,2,28.3,403,275,62.6,110.3,138,4217,2334,1369,231,107,294,187,4,-28.4,48.8,1406,1002,16.9,48
Kansas,Greenwood,37.767081,-96.109222,.,17.1,31.9,2.6,29.3,941,541,28.8,59,114,4810,1997,1709,249,89,304,215,6,-24.4,48.2,1341,426,15.4,58
Kansas,Harper,37.243711,-98.077789,.,18.2,33.6,3.9,29.7,725,426,38.9,78.8,84,5115,1839,1935,260,87,306,220,3,-22.9,51.2,1438,714,16,56
Kansas,Harvey,38.045624,-97.380219,.,17.1,32.5,2.4,30.1,783,462,34.7,70.4,120,4834,2049,1766,251,89,306,217,6,-24.3,49.7,1344,563,15.7,58
Kansas,Haskell,37.425389,-101.020447,.,17,31.7,3.6,28.2,444,296,60.8,107.2,93,4715,2008,1663,242,102,298,197,2,-25.7,50.6,1481,1038,17.2,50
Kansas,Hodgeman,38.05721,-100.033157,.,16.8,31.9,2.8,29.2,534,335,50.2,95.3,114,4704,2099,1689,239,99,300,200,4,-26.1,50.5,1417,885,16.6,52
Kansas,Jackson,39.454953,-95.772758,.,15.9,30.7,0.9,29.8,965,587,26.8,52.3,176,4494,2294,1546,233,95,303,208,12,-26.2,47.5,1208,303,15,59
Kansas,Jefferson,39.129028,-95.429649,.,16.1,30.9,1.2,29.7,990,586,26.3,52.7,162,4539,2237,1566,238,93,303,211,11,-25.5,47.3,1230,289,15.1,60
Kansas,Jewell,39.900633,-98.062302,.,15,30.7,-0.5,31.2,707,433,35.4,70.9,230,4286,2526,1461,228,99,298,199,15,-28.7,48.7,1181,514,15.5,56
Kansas,Johnson,38.966459,-94.793274,.,16.4,30.8,1.9,28.9,1039,599,25.4,51.4,145,4609,2165,1600,244,91,306,215,10,-24.6,47.3,1236,273,15,61
Kansas,Kearny,37.900662,-101.255234,.,16.4,31.5,2.8,28.6,426,293,62,107.4,112,4559,2137,1583,238,103,297,193,3,-26.8,50.2,1455,1028,17,49
Kansas,Kingman,37.679873,-97.968399,.,17.7,33.1,3.1,30,713,420,38.8,78.7,102,4974,1952,1853,256,88,306,218,4,-23.6,50.7,1392,677,15.9,57
Kansas,Kiowa,37.55463,-99.279243,.,17.1,32.5,3.1,29.3,596,376,45.5,86.4,106,4798,2034,1743,247,96,302,206,4,-24.7,50.6,1404,808,16.6,55
Kansas,Labette,37.262031,-95.233612,.,18,32.3,3.9,28.4,1056,561,26.5,57.5,80,5035,1794,1825,263,83,308,225,4,-22.3,48.4,1372,400,15.2,59
Kansas,Lane,38.426016,-100.345688,.,16.2,31.4,2.2,29.2,516,323,50.7,97.1,132,4525,2219,1584,235,102,297,195,5,-27.3,50.1,1393,878,16.6,51
Kansas,Leavenworth,39.171242,-95.103905,.,16.1,30.7,1.4,29.4,1016,595,25.7,51.6,159,4545,2227,1566,238,93,304,211,11,-25.3,47.2,1234,283,15,60
Kansas,Lincoln,38.907184,-98.480042,.,16.3,32,1.4,30.5,638,396,41.2,80.8,154,4612,2247,1657,238,96,301,206,7,-26.3,50,1315,679,15.8,56
Kansas,Linn,38.25001,-94.681778,.,17.1,31.4,3,28.4,1067,576,25.4,54.5,107,4800,1974,1690,249,89,306,216,7,-23.7,47.3,1323,353,15,59
Kansas,Logan,38.886115,-101.175995,.,15.5,30.9,1.7,29.3,469,315,54.4,98.3,147,4323,2338,1460,231,106,294,189,5,-28.5,49.7,1388,920,16.4,49
Kansas,Lyon,38.522655,-96.084145,.,16.4,31.3,1.6,29.7,951,557,27.8,56.2,145,4630,2165,1621,241,92,303,211,9,-25.4,48,1282,365,15.4,59
Kansas,Marion,38.366165,-97.139183,.,16.5,31.9,1.6,30.3,824,498,32.2,64,143,4671,2163,1663,244,91,304,213,7,-25.3,49.1,1299,477,15.6,59
Kansas,Marshall,39.754449,-96.674706,.,15.5,30.8,0.1,30.7,858,534,29.7,57.7,206,4412,2422,1530,228,96,300,204,14,-27.2,48.2,1208,385,14.9,58
Kansas,McPherson,38.356605,-97.682823,.,17,32.5,2.2,30.3,756,457,35.7,71.2,127,4805,2088,1757,248,91,306,215,6,-24.7,49.8,1340,584,15.8,58
Kansas,Meade,37.23481,-100.367622,.,17.7,32.4,4.2,28.2,519,338,53.4,95.9,80,4946,1871,1799,249,98,301,204,2,-24.4,51.2,1495,977,16.8,51
