ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
Kansas,Anderson,38.171526,-95.278122,.,16.9,32.9,1.9,31,987,488,27.3,67.4,105,4714,2004,1635,252,79,296,217,5,-24.9,50,1315,433,15.3,60
Kansas,Atchison,39.537939,-95.149796,.,16.2,32.6,0.8,31.8,937,517,27.9,63.1,140,4515,2193,1546,248,80,294,214,7,-25.8,49.6,1251,395,14.8,61
Kansas,Barber,37.295234,-98.614563,.,18.2,33.5,3.3,30.3,625,335,45.2,100.2,72,5094,1750,1846,263,83,295,212,2,-24.3,48.9,1462,835,16.2,55
Kansas,Barton,38.484026,-98.661598,.,17.1,33,1.9,31.1,624,342,43.3,96.5,106,4755,2015,1683,256,84,292,208,3,-25.5,47.8,1362,738,16,57
Kansas,Brown,39.903377,-95.650581,.,15.7,32.2,0.1,32.2,895,494,28.7,65.2,167,4392,2308,1479,244,83,291,207,9,-27,49.1,1252,418,14.8,59
Kansas,Butler,37.718566,-96.903198,.,17.5,33,2.5,30.5,849,445,32.4,74.3,91,4870,1899,1721,258,81,296,216,4,-24.6,49.1,1365,538,15.6,58
Kansas,Chase,38.367166,-96.586777,.,16.9,32.9,1.7,31.2,866,467,31,70.5,112,4697,2039,1635,254,81,294,213,5,-25.4,49.2,1324,503,15,59
Kansas,Cherokee,37.043258,-94.640686,.,18.3,33.3,4.3,29,1099,477,25.8,69.8,58,5089,1660,1792,265,74,302,228,2,-22.3,50,1379,467,14.9,60
Kansas,Clark,37.393346,-99.786758,.,17.3,32.5,2.7,29.8,552,326,49.4,99.6,87,4786,1920,1668,253,89,290,201,2,-25.9,46.9,1439,888,16.3,53
Kansas,Clay,39.281917,-97.036598,.,16.6,33,1.1,31.9,799,449,33.3,73.4,131,4637,2134,1626,252,82,292,211,5,-26.1,49.1,1308,525,15.1,58
Kansas,Cloud,39.47627,-97.644836,.,15.7,32.3,0.1,32.2,723,413,35.5,78.2,164,4389,2311,1486,245,86,289,202,7,-27.3,47.6,1266,545,15.4,58
Kansas,Coffey,38.267677,-95.814552,.,16.9,32.8,1.7,31.2,899,464,29.9,70.8,110,4692,2026,1624,253,79,295,215,5,-25.4,49.5,1311,463,15.3,59
