"","STATE_PROVINCE","COUNTY","YEAR","LATITUDE","LONGITUDE","EFFORT_HRS","Anas_platyrhynchos","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","RH","count"
"1","New_Mexico","Hidalgo",2001,31.3661995,-109.0233994,8,2,15.9,24.9,5.1,19.8,339,244,76.5,102,48,4094,1681,912,282,101,305,204,3,-21.6,40.7,1523,1179,50,1
"2","New_Mexico","Hidalgo",1994,31.5332413,-108.8784332,1.5,2,15.5,25.1,6.4,18.7,380,138,67.1,182.2,39,3913,1749,833,270,109,297,188,1,-22.4,40.3,1576,1306,46,2
"3","New_Mexico","Hidalgo",1995,31.5332413,-108.8784332,1,5,15.5,25.2,5.7,19.6,268,148,95.1,170.8,36,3898,1695,760,274,120,306,186,4,-22.4,40.3,1563,1263,46,5
"4","New_Mexico","Luna",1996,31.80346,-107.63507,0.5,54,18.4,28.7,7.4,21.3,229,193,123.9,148.4,23,4912,1268,1386,304,86,309,223,0,-19.2,42.9,1658,1418,49,108
"5","New_Mexico","Luna",1996,31.8253568,-107.5784683,1.167,6,18.5,28.8,7.5,21.3,227,191,125.8,150.8,23,4959,1247,1408,305,85,310,225,0,-18.9,43,1661,1426,49,6
"6","New_Mexico","Hidalgo",1994,31.8368785,-109.0286636,0.5,2,17,27.1,7,20,331,128,81.4,211.1,32,4421,1524,1130,284,98,302,205,1,-20.6,42.1,1672,1434,46,4
"7","New_Mexico","Hidalgo",1994,31.8368785,-109.0286636,0.5,2,17,27.1,7,20,331,128,81.4,211.1,32,4421,1524,1130,284,98,302,205,1,-20.6,42.1,1672,1434,46,4
"8","New_Mexico","Hidalgo",1997,31.8539397,-108.8037872,2.5,7,15.8,26.3,3.8,22.5,330,171,78.3,153.8,55,4082,1782,977,276,100,305,204,1,-21.8,41.3,1543,1271,50,3
"9","New_Mexico","Eddy",1991,32.0959011,-104.4679234,4.5,5,16.2,25.4,4.6,20.8,563,471,46.5,53.9,46,4181,1645,1006,288,91,307,216,2,-21.2,44.4,1519,1088,52,2
"10","New_Mexico","Eddy",1987,32.1091003,-104.4710999,4.5,2,15.6,26.2,5,21.2,437,344,58.6,76.1,49,3981,1791,956,268,103,306,202,3,-22.4,43.9,1483,1028,50,1
"11","New_Mexico","Eddy",1987,32.1091003,-104.4710999,4.5,1,15.6,26.2,5,21.2,437,344,58.6,76.1,49,3981,1791,956,268,103,306,202,3,-22.4,43.9,1483,1028,50,1
"12","New_Mexico","Eddy",1987,32.1091003,-104.4710999,2.5,17,15.6,26.2,5,21.2,437,344,58.6,76.1,49,3981,1791,956,268,103,306,202,3,-22.4,43.9,1483,1028,50,7
"13","New_Mexico","Eddy",1990,32.1091003,-104.4710999,4.25,12,16.7,25.3,6.3,19,361,250,73.9,101.2,37,4325,1555,1092,283,97,298,201,1,-22.4,43.9,1508,1143,51,3
"14","New_Mexico","Eddy",1988,32.1091003,-104.4710999,3,3,16,25.8,4,21.7,409,377,63.5,68.2,54,4116,1724,1007,264,102,302,199,1,-22.4,43.9,1531,1101,48,1
"15","New_Mexico","Eddy",1988,32.1091003,-104.4710999,5,2,16,25.8,4,21.7,409,377,63.5,68.2,54,4116,1724,1007,264,102,302,199,1,-22.4,43.9,1531,1101,48,1
"16","New_Mexico","Eddy",1991,32.1091003,-104.4710999,2,3,16.2,25.4,4.6,20.8,566,474,46.3,53.6,46,4179,1647,1006,288,91,306,215,2,-21.2,44.4,1519,1091,52,2
"17","New_Mexico","Eddy",1991,32.1091003,-104.4710999,3.75,4,16.2,25.4,4.6,20.8,566,474,46.3,53.6,46,4179,1647,1006,288,91,306,215,2,-21.2,44.4,1519,1091,52,2
"18","New_Mexico","Eddy",1987,32.1091003,-104.4710999,1,2,15.6,26.2,5,21.2,437,344,58.6,76.1,49,3981,1791,956,268,103,306,202,3,-22.4,43.9,1483,1028,50,2
"19","New_Mexico","Dona_Ana",1994,32.1158028,-106.6737289,0.5,2,18.6,30,7.2,22.8,183,109,156.5,275.3,26,5012,1318,1526,308,87,312,225,0,-18.9,42.9,1635,1465,51,4
"20","New_Mexico","Eddy",1980,32.2417533,-104.0270305,2,10,17.8,30.7,7.5,23.2,444,362,62.6,84.9,29,4719,1503,1455,286,100,299,199,1,-22.2,46,1620,1289,50,5
"21","New_Mexico","Luna",1999,32.2421345,-107.7095318,0.75,50,16.3,25.8,5,20.8,216,190,121.8,135.7,39,4191,1600,952,277,103,304,200,0,-22.6,42.5,1561,1341,47,67
"22","New_Mexico","Dona_Ana",1987,32.247964,-106.819833,2,5,16.2,27.2,4.7,22.5,219,156,119.7,174.3,51,4194,1714,1051,275,97,310,213,2,-20.9,42.6,1534,1301,49,3
"23","New_Mexico","Dona_Ana",1989,32.247964,-106.819833,10,20,17.5,28.2,5.4,22.8,217,135,126.7,208.3,39,4645,1437,1244,293,85,308,223,1,-20.9,42.6,1624,1407,49,2
"24","New_Mexico","Dona_Ana",2000,32.247964,-106.819833,3.5,32,17.5,27.9,5.9,22,191,118,144.1,236.2,32,4615,1484,1288,294,84,309,225,0,-19.7,42.7,1571,1369,51,10
"25","New_Mexico","Dona_Ana",1967,32.2631412,-106.8246002,0.75,2,16.2,27.5,4.2,23.3,201,162,130.3,169.4,54,4224,1664,1003,277,100,302,202,0,-23.2,43.1,1556,1368,48,3
"26","New_Mexico","Luna",2000,32.2719577,-107.6768839,0.5,4,16.7,27.6,5.6,22,196,105,136.3,263.2,40,4334,1660,1167,274,91,304,213,0,-22.7,42.5,1579,1383,49,8
"27","New_Mexico","Hidalgo",1995,32.2765723,-108.8799135,0.167,5,16.9,27.6,6.2,21.3,219,128,122.8,215.1,30,4389,1482,1054,285,108,311,203,3,-21.8,42.5,1661,1402,45,30
"28","New_Mexico","Hidalgo",1980,32.3137944,-108.6107326,0.167,1,15.7,28.4,6.4,22,201,105,127.8,269.5,39,3983,1813,972,258,118,292,174,1,-24.5,42.1,1620,1408,44,6
"29","New_Mexico","Eddy",2001,32.346912,-104.09194,6,261,18.3,30.1,5.8,24.2,178,93,159,322.9,36,4899,1424,1533,302,86,310,224,2,-20.2,46.1,1581,1395,53,44
"30","New_Mexico","Eddy",1993,32.346912,-104.09194,8.333,150,17.5,29,7.4,21.6,210,131,130.6,221.8,29,4603,1455,1286,287,92,304,212,1,-20.2,46.1,1629,1408,48,19
