"","statenum","Year","counts","year","state"
"1",6,1973,2,1973,"AZ"
"2",6,1974,1,1974,"AZ"
"3",6,1975,5,1975,"AZ"
"4",6,1976,3,1976,"AZ"
"5",6,1977,2,1977,"AZ"
"6",6,1978,4,1978,"AZ"
"7",6,1979,1,1979,"AZ"
"8",6,1981,2,1981,"AZ"
"9",6,1982,1,1982,"AZ"
"10",6,1984,1,1984,"AZ"
"11",6,1985,1,1985,"AZ"
"12",6,1987,2,1987,"AZ"
"13",6,1989,1,1989,"AZ"
"14",6,1990,2,1990,"AZ"
"15",6,1991,1,1991,"AZ"
"16",6,1992,5,1992,"AZ"
"17",6,1993,3,1993,"AZ"
"18",6,1994,6,1994,"AZ"
"19",6,1995,4,1995,"AZ"
"20",6,1996,6,1996,"AZ"
"21",6,1997,2,1997,"AZ"
"22",6,1999,1,1999,"AZ"
"23",6,2000,1,2000,"AZ"
"24",6,2001,3,2001,"AZ"
"25",6,2002,2,2002,"AZ"
"26",6,2003,2,2003,"AZ"
"27",6,2004,2,2004,"AZ"
"28",6,2005,1,2005,"AZ"
"29",6,2006,5,2006,"AZ"
"30",6,2007,4,2007,"AZ"
"31",6,2008,2,2008,"AZ"
"32",6,2011,1,2011,"AZ"
"33",6,2013,3,2013,"AZ"
"34",6,2014,3,2014,"AZ"
"35",6,2015,2,2015,"AZ"
"36",17,1970,3,1970,"CO"
"37",17,1971,2,1971,"CO"
"38",17,1972,5,1972,"CO"
"39",17,1973,3,1973,"CO"
"40",17,1974,4,1974,"CO"
"41",17,1975,3,1975,"CO"
"42",17,1976,5,1976,"CO"
"43",17,1977,2,1977,"CO"
"44",17,1978,7,1978,"CO"
"45",17,1979,4,1979,"CO"
"46",17,1980,4,1980,"CO"
"47",17,1981,7,1981,"CO"
"48",17,1982,9,1982,"CO"
"49",17,1983,6,1983,"CO"
"50",17,1984,5,1984,"CO"
"51",17,1985,10,1985,"CO"
"52",17,1986,10,1986,"CO"
"53",17,1987,5,1987,"CO"
"54",17,1988,9,1988,"CO"
"55",17,1989,16,1989,"CO"
"56",17,1990,16,1990,"CO"
"57",17,1991,20,1991,"CO"
"58",17,1992,17,1992,"CO"
"59",17,1993,14,1993,"CO"
"60",17,1994,10,1994,"CO"
"61",17,1995,13,1995,"CO"
"62",17,1996,37,1996,"CO"
"63",17,1997,31,1997,"CO"
"64",17,1998,20,1998,"CO"
"65",17,1999,28,1999,"CO"
"66",17,2000,18,2000,"CO"
"67",17,2001,18,2001,"CO"
"68",17,2002,10,2002,"CO"
"69",17,2003,32,2003,"CO"
"70",17,2004,19,2004,"CO"
"71",17,2005,20,2005,"CO"
"72",17,2006,27,2006,"CO"
"73",17,2007,21,2007,"CO"
"74",17,2008,24,2008,"CO"
"75",17,2009,19,2009,"CO"
"76",17,2010,25,2010,"CO"
"77",17,2011,20,2011,"CO"
"78",17,2012,16,2012,"CO"
"79",17,2013,18,2013,"CO"
"80",17,2014,23,2014,"CO"
"81",17,2015,26,2015,"CO"
"82",60,1968,4,1968,"NM"
"83",60,1969,3,1969,"NM"
"84",60,1971,2,1971,"NM"
"85",60,1974,2,1974,"NM"
"86",60,1975,1,1975,"NM"
"87",60,1976,3,1976,"NM"
"88",60,1977,1,1977,"NM"
"89",60,1979,4,1979,"NM"
"90",60,1980,1,1980,"NM"
"91",60,1981,6,1981,"NM"
"92",60,1982,2,1982,"NM"
"93",60,1984,3,1984,"NM"
"94",60,1985,2,1985,"NM"
"95",60,1986,1,1986,"NM"
"96",60,1987,6,1987,"NM"
"97",60,1988,5,1988,"NM"
"98",60,1989,1,1989,"NM"
"99",60,1990,2,1990,"NM"
"100",60,1991,4,1991,"NM"
"101",60,1992,2,1992,"NM"
"102",60,1993,4,1993,"NM"
"103",60,1994,7,1994,"NM"
"104",60,1995,5,1995,"NM"
"105",60,1996,3,1996,"NM"
"106",60,1997,7,1997,"NM"
"107",60,1998,10,1998,"NM"
"108",60,1999,8,1999,"NM"
"109",60,2000,7,2000,"NM"
"110",60,2001,5,2001,"NM"
"111",60,2002,4,2002,"NM"
"112",60,2003,2,2003,"NM"
"113",60,2004,2,2004,"NM"
"114",60,2005,1,2005,"NM"
"115",60,2006,4,2006,"NM"
"116",60,2007,6,2007,"NM"
"117",60,2008,7,2008,"NM"
"118",60,2009,3,2009,"NM"
"119",60,2010,2,2010,"NM"
"120",60,2011,6,2011,"NM"
"121",60,2012,5,2012,"NM"
"122",60,2013,4,2013,"NM"
"123",60,2014,1,2014,"NM"
"124",60,2015,5,2015,"NM"
"125",85,1968,3,1968,"UT"
"126",85,1969,1,1969,"UT"
"127",85,1970,4,1970,"UT"
"128",85,1972,3,1972,"UT"
"129",85,1973,3,1973,"UT"
"130",85,1975,2,1975,"UT"
"131",85,1976,2,1976,"UT"
"132",85,1977,1,1977,"UT"
"133",85,1978,2,1978,"UT"
"134",85,1979,2,1979,"UT"
"135",85,1980,7,1980,"UT"
"136",85,1981,3,1981,"UT"
"137",85,1982,6,1982,"UT"
"138",85,1983,2,1983,"UT"
"139",85,1985,1,1985,"UT"
"140",85,1986,8,1986,"UT"
"141",85,1987,17,1987,"UT"
"142",85,1988,13,1988,"UT"
"143",85,1989,12,1989,"UT"
"144",85,1990,9,1990,"UT"
"145",85,1991,22,1991,"UT"
"146",85,1992,38,1992,"UT"
"147",85,1993,46,1993,"UT"
"148",85,1994,36,1994,"UT"
"149",85,1995,48,1995,"UT"
"150",85,1996,25,1996,"UT"
"151",85,1997,40,1997,"UT"
"152",85,1998,33,1998,"UT"
"153",85,1999,47,1999,"UT"
"154",85,2000,34,2000,"UT"
"155",85,2001,38,2001,"UT"
"156",85,2002,37,2002,"UT"
"157",85,2003,44,2003,"UT"
"158",85,2004,36,2004,"UT"
"159",85,2005,56,2005,"UT"
"160",85,2006,33,2006,"UT"
"161",85,2007,55,2007,"UT"
"162",85,2008,44,2008,"UT"
"163",85,2009,54,2009,"UT"
"164",85,2010,53,2010,"UT"
"165",85,2011,38,2011,"UT"
"166",85,2012,50,2012,"UT"
"167",85,2013,26,2013,"UT"
"168",85,2014,25,2014,"UT"
"169",85,2015,33,2015,"UT"
